----------------
Fitness: 15623.41372943635
* SIMULATED CIRCUIT
C_192 117 172 0.0000000022000000000000003
L_169 142 117 0.47000000000000003
C_204 163 181 0.000000008199999999999999
R_3 3 0 50
C_174 140 172 0.0000001
L_134 184 117 0.00039
C_38 117 3 0.000000015000000000000002
L_77 121 187 0.039
L_31 137 190 0.0068
L_155 117 121 0.0000001
C_216 190 117 0.00082
C_76 172 128 0.00000018
C_105 140 128 0.000001
C_215 163 181 0.000082
C_156 181 140 0.0000000068000000000000005
C_208 117 183 0.0000000787
L_158 190 152 0.0018000000000000002
C_232 190 189 0.00000044199999999999996
L_223 189 117 0.00012
C_129 128 150 0.0000012
L_213 129 142 0.0000022
L_212 175 185 0.0001
C_240 195 129 0.00000027
C_152 0 167 0.000001
C_157 117 164 0.00000178
C_123 184 140 0.0000012
C_89 117 140 0.0000000039
L_127 190 143 0.0056
C_185 183 135 0.000012
L_165 167 3 0.000068
C_220 174 164 0.000018
L_103 137 3 0.0050999999999999995
L_219 163 187 0.16000000000000003
C_108 117 172 0.000001
C_233 193 184 0.000000047000000000000004
L_159 129 117 0.000002
R_2 128 1 50
L_65 142 190 0.0000047
L_120 117 142 0.055999999999999994
L_124 147 121 0.0033
C_206 129 188 0.0000000015000000000000002
L_184 117 175 0.000000011499999999999999
L_210 184 195 1
L_133 152 3 0.0047
C_78 129 190 0.000013000000000000001
C_144 135 117 0.00000002
C_242 135 175 0.00000032999999999999996
C_138 143 174 0.000000022000000000000002
C_128 142 150 0.000000068
L_194 178 147 0.000022000000000000003
C_222 188 3 0.00000032999999999999996
L_199 164 192 0.1
L_82 117 142 0.000022000000000000003
C_193 187 142 0.0000000027
L_162 172 0 0.00027000000000000006
V_1 1 0 AC 1
C_187 143 0 0.00000018
L_227 192 129 0.00000022
L_179 185 152 0.01
L_136 154 152 0.39
C_181 154 150 0.000027400000000000005
L_104 128 178 0.0000005599999999999999
L_207 117 184 0.00000018
L_86 128 143 0.0001
L_180 129 193 0.0000008199999999999999

